log10_HSat2_density_plus_epsilon	log10_HSat3_density_plus_epsilon	pooled_pass
-6.110813332174971	-9.0	0
-9.0	-7.083488462389945	0
-6.220266136853949	-9.0	0
-6.520652116921865	-9.0	0
-5.445039424340727	-9.0	1
-5.831773147662838	-9.0	0
-6.0688000625150025	-9.0	0
-6.512909944230876	-9.0	0
-9.0	-6.4178577947463875	0
-9.0	-5.882133570109041	0
-5.563901903817307	-9.0	1
-6.10790214316642	-8.910687782941014	0
-7.148228515849773	-6.564128099716715	0
-6.230274611012247	-8.669259652181388	0
-9.0	-5.978611426338796	0
-9.0	-6.15709839824799	0
-5.576798996691846	-9.0	0
-6.01506614424189	-8.836646598198483	0
-6.042704845616238	-9.0	0
-9.0	-7.598562786993948	0
-4.2346881716304114	-6.765881902029238	1
-9.0	-5.849419429010691	0
-5.139862215197797	-9.0	0
-5.333676812960243	-6.042401549126787	0
-9.0	-7.323640062879704	0
-6.649931673475136	-9.0	0
-9.0	-6.774645441808013	0
-9.0	-5.828146277898792	0
-5.50161730581023	-8.872091223416138	0
-9.0	-5.9575609522878725	0
-6.102839420098109	-9.0	0
-5.874297916584458	-9.0	0
-6.689422475167125	-9.0	0
-9.0	-5.963719488420543	0
-5.194042812080665	-9.0	0
-9.0	-6.584402803426737	0
-9.0	-6.6948135071309895	0
-4.1780883067656385	-9.0	1
-6.136221492213406	-9.0	0
-9.0	-6.587652009969541	0
-6.128454173459219	-9.0	0
-9.0	-5.626160481776733	1
-9.0	-6.105224793772993	0
-9.0	-6.704999002653796	0
-9.0	-6.511318113582437	0
-9.0	-6.169079178683637	0
-8.956107883465604	-6.25828711877266	0
-9.0	-6.438996750508877	0
-9.0	-6.3091391527198395	0
-9.0	-6.606070696792738	0
-9.0	-5.4475661451408275	0
-9.0	-5.191459238803807	0
-9.0	-6.45269820477053	0
-9.0	-7.365266843160749	0
-5.944476006387071	-9.0	0
-4.878483529544689	-9.0	0
-6.322240726113758	-9.0	0
-5.412423283149746	-9.0	1
-9.0	-6.4575052747414485	0
-4.243257526912453	-9.0	1
-9.0	-6.607674919103193	0
-9.0	-7.5590986502575745	0
-4.163700193849764	-9.0	1
-5.5156513793426205	-8.95305205497169	0
-6.726177116853367	-9.0	0
-6.084447236016373	-7.376918335898156	0
-4.254570621626849	-9.0	1
-6.077932615628813	-9.0	0
-3.905312587125027	-8.040699556198701	1
-5.964692160576029	-9.0	0
-6.424705161446831	-9.0	0
-5.883877505388417	-9.0	0
-4.255537008090893	-9.0	1
-5.938502013521388	-9.0	0
-6.241162537150975	-9.0	0
-9.0	-6.1092229974596926	0
-5.949216455209482	-9.0	0
-5.187642405900232	-9.0	1
-4.182160110217488	-9.0	1
-5.423290609413004	-9.0	1
-6.243583628486198	-9.0	0
-7.079281676986166	-9.0	0
-5.1380876325798	-9.0	1
-6.278626356920571	-9.0	0
-4.549679632654876	-9.0	1
-4.18239834014369	-9.0	1
-6.418971258839092	-9.0	0
-5.841988279409767	-9.0	0
-5.349517407000866	-9.0	1
-6.362351037464162	-9.0	0
-9.0	-6.319775234883538	0
-9.0	-5.934872793564107	0
-4.451882446255946	-9.0	1
-9.0	-5.953532948160132	0
