log10_HSat2_density_plus_epsilon	log10_HSat3_density_plus_epsilon	pooled_pass
-6.8878325417157695	-9.0	0
-9.0	-5.64302383285762	1
-9.0	-5.708857824900913	0
-9.0	-6.31268960120598	0
-9.0	-6.288136360141937	0
-9.0	-5.6050478153817	1
-9.0	-6.323309687661745	0
-9.0	-6.484636796041917	0
-5.608277098488514	-7.187553597598877	0
-5.645961057574322	-8.95305205497169	1
-9.0	-6.35863093125179	0
-8.9162473954347	-5.070321606859992	0
-9.0	-5.780522882676901	0
-8.325854498692134	-5.272712215692849	0
-8.956107883465604	-6.107377981341245	0
-4.324240451518764	-9.0	1
-5.8024362042983135	-9.0	0
-9.0	-5.873378362009229	0
-9.0	-5.051839114332293	1
-9.0	-4.834154926839993	1
-9.0	-6.116617601052223	0
-8.814813640983981	-5.741829869776504	0
-6.182531287063903	-7.174762921862661	0
-9.0	-5.782411349359703	0
-6.989909940257979	-4.2728635162082655	1
-9.0	-6.9854693806888015	0
-9.0	-6.733836869687297	0
-9.0	-6.362497660668879	0
-6.173416331989265	-9.0	0
-9.0	-6.12638958406477	0
-9.0	-5.888760218590419	0
-6.040265668584236	-9.0	0
-5.959528177154017	-9.0	0
-6.983193240745394	-4.031289658347715	1
-8.956107883465604	-5.182937143234027	0
-9.0	-5.581099030747091	0
-9.0	-7.041700442437871	0
-9.0	-6.549300417778475	0
-9.0	-6.4575052747414485	0
-7.691318149092395	-6.543196412664339	0
-5.514079511800856	-5.959318090146179	0
-9.0	-5.314924342992659	1
-9.0	-6.741697570989494	0
-6.131757091931641	-7.687790310262138	0
-9.0	-6.235017774769108	0
-5.94975095116877	-8.585318439588658	0
-6.227068549510972	-9.0	0
-9.0	-6.374778598385176	0
-4.162403980905748	-9.0	1
-5.57427886218695	-8.95305205497169	0
-6.202753414174029	-7.812922722083303	0
-3.9695744731537577	-7.1139773667461474	1
-5.715554675399984	-9.0	0
-5.707449404876774	-9.0	0
-6.34422417136025	-9.0	0
-5.349011608006833	-9.0	0
-5.949011054871637	-9.0	0
-6.329379862235508	-9.0	0
-9.0	-5.904030668504807	0
-7.118716149759745	-9.0	0
-6.846680008265841	-8.548739379259498	0
-8.879739807765889	-7.014722198674761	0
-6.076443018705209	-6.2434463335131145	0
-6.477527948291557	-5.8054207925383094	0
-7.516289334589038	-6.693587558150889	0
-6.299840207632405	-6.090322079502292	0
-6.0337275430459245	-5.803619034527564	1
-4.862319131470892	-9.0	1
-6.010074145681328	-9.0	0
-9.0	-5.943579871510271	0
-9.0	-6.8968622475043455	0
-5.32477611605209	-9.0	0
-8.622960533978908	-5.261044238457599	0
-6.468469533524092	-4.469198649984646	1
-9.0	-6.11869782110297	0
-6.269511130319962	-9.0	0
-9.0	-6.157810851839709	0
-9.0	-5.869543103301657	0
-8.814813640983981	-5.29036405321879	0
-9.0	-6.016512589759331	0
-8.708378043228171	-5.8114812176092565	0
-9.0	-7.314339144834016	0
-7.166135919141862	-5.531473069949573	0
-7.760006859882498	-6.678903148068975	0
-9.0	-5.6389674617648184	0
-8.879739807765889	-5.634307342235634	0
-6.525116875495142	-3.2951413250797574	1
-3.5850869266776786	-4.932230025856146	1
-9.0	-5.3933838599331265	0
-9.0	-5.3404140693382445	1
-6.760705653684822	-4.214833092368465	1
-7.514775600309685	-5.397884008582505	0
-7.263655240508272	-4.749138502574887	1
-9.0	-5.878632772947733	0
-6.944531810016544	-5.070385734958046	1
-9.0	-5.903474530455308	0
-9.0	-5.949541960001113	0
-8.519902541342232	-4.729063481052942	1
-9.0	-6.141713037191294	0
-6.994902391799711	-5.742980554584794	0
-9.0	-5.982308475675743	0
-9.0	-6.138154774242091	0
-9.0	-5.95505025110137	0
-7.2341670829543805	-4.5617398151060256	1
-9.0	-6.267092662739736	0
-6.062141117645018	-9.0	0
-5.66379850762613	-8.625264156419595	0
-7.204330745166063	-5.503659070277485	0
-6.636126648777793	-6.290259223515951	0
-8.708378043228171	-5.2773446584192785	0
-9.0	-6.170839014064735	0
-6.7517475676942	-5.564688849466839	0
-9.0	-6.329935835211198	0
-9.0	-6.609890445354929	0
-5.733507025253194	-6.740877765423982	0
-6.586696074513988	-9.0	0
-4.186958950922734	-9.0	1
-5.486207722029424	-5.972425698236693	1
-6.656583188291122	-5.957830818885004	0
-9.0	-5.77055821255655	0
-6.036783179614321	-6.402683877493583	0
-8.879739807765889	-5.48206922800892	1
-6.6419605048142305	-3.5134049577082376	1
-7.294381759854159	-6.032297778462899	0
-6.168623050596578	-5.057710954548474	0
-9.0	-5.233036293011167	0
-9.0	-6.586311156085226	0
-7.746917062471165	-5.527446165659055	1
-9.0	-6.323414078860828	0
-6.146842027952047	-9.0	0
-6.252330462422262	-9.0	0
-5.562651570783734	-9.0	0
-9.0	-5.977715609862471	0
-6.079649218071736	-6.081500252053648	0
-9.0	-6.117396516380573	0
-9.0	-5.457446079890253	1
-9.0	-5.783283411252401	0
-9.0	-6.141575640480337	0
-9.0	-5.9150201825851445	0
-9.0	-5.885472340565127	0
-9.0	-6.778200979177736	0
-9.0	-5.737365689548795	0
-6.746305544259487	-8.910687782941014	0
-9.0	-5.5844948994747385	1
-9.0	-6.010477612774388	0
-9.0	-5.759020005409955	0
-4.232313666520044	-8.254422526648225	1
-6.802300624796634	-9.0	0
-9.0	-6.121508900175292	0
-9.0	-6.258376992770121	0
-9.0	-5.938515412657647	0
-9.0	-6.222839537438874	0
-9.0	-7.707561387721745	0
-6.542643203964803	-9.0	0
-5.265821056532426	-9.0	0
-9.0	-5.776948363370318	0
-8.9162473954347	-5.2092067032837335	0
-8.956107883465604	-5.974290874792415	0
-9.0	-5.785819310728469	0
-6.471057949657093	-9.0	0
-6.386184501285073	-5.929107415020306	0
-6.242452106027449	-9.0	0
-9.0	-5.972146611368893	0
-9.0	-6.7829874343436085	0
-9.0	-5.5134286963204335	1
-6.425688729100378	-9.0	0
-5.619362159436712	-9.0	0
-6.482690038135643	-9.0	0
-3.8982825619287698	-9.0	1
-6.176179291169747	-9.0	0
-9.0	-6.318844439399912	0
-6.4405885727559165	-9.0	0
-7.434940794734344	-9.0	0
-5.946349653175169	-9.0	0
-8.956107883465604	-5.807675592700845	0
-6.724214647434312	-6.360446280862574	0
-6.4545683700789755	-9.0	0
-6.624883570457122	-9.0	0
-6.183869333352226	-9.0	0
-5.930163991734619	-9.0	0
-7.255261242154732	-9.0	0
-9.0	-7.819416502002391	0
-5.934988479746585	-9.0	0
-7.154775105159174	-8.80387775108141	0
-7.106151357854504	-9.0	0
-9.0	-6.233742002976431	0
-8.9162473954347	-6.060484047826327	0
-9.0	-7.143997705828901	0
-7.276558503703562	-5.347772058548593	0
-6.501329667415866	-6.218554048499978	0
-5.72979719144565	-9.0	0
-5.611569233010475	-8.95305205497169	0
-6.378057044038432	-9.0	0
-9.0	-6.53428313371148	0
-6.1037182147406766	-6.624051739611309	0
-9.0	-7.135109960316561	0
-8.708378043228171	-5.708654987333712	0
-5.241465460014889	-7.192159425758526	0
-8.814813640983981	-5.534755663157616	0
-6.831690786057919	-4.454523142333602	1
-9.0	-6.328032311745987	0
-9.0	-6.182455124327786	0
-9.0	-6.509231127471294	0
-6.555064590745496	-7.898101084358055	0
-6.5389530705755705	-9.0	0
-9.0	-5.505560554452684	1
-9.0	-6.582313255678255	0
-9.0	-5.847356228503511	0
-9.0	-5.792316800621699	0
-8.956107883465604	-5.888568379854568	0
-7.393022967957069	-5.871124730542636	0
-9.0	-5.895411604064008	0
-9.0	-6.101638817337225	0
-9.0	-6.988355837502006	0
