prevalence_fraction	max_chromosome_count_fraction	dominant_chromosome_recurrence
0.5200698080279232	0.9996323529411765	1.0
0.4869109947643979	0.9720136518771331	0.9581749049429658
0.8568935427574171	0.9983128709651191	1.0
0.8289703315881326	1.0	1.0
0.9458987783595113	0.8168316831683168	0.7723880597014925
0.9965095986038395	0.8285126147999577	0.9910714285714286
0.7958115183246073	0.9995426132032322	1.0
0.7818499127399651	0.9506656225528582	0.9906976744186047
1.0	0.7005966032770617	0.969187675070028
1.0	0.5112241080235366	0.9660714285714286
0.006980802792321117	1.0	1.0
0.9930191972076788	0.9223904131188899	0.9890829694323144
0.9930191972076788	0.8859664452988466	0.9912663755458515
0.7958115183246073	0.999827422555872	1.0
0.6858638743455497	1.0	1.0
0.7958115183246073	1.0	1.0
0.7993019197207679	0.9418781725888324	0.831140350877193
0.46596858638743455	1.0	1.0
0.7958115183246073	1.0	1.0
0.006980802792321117	1.0	1.0
0.8167539267015707	1.0	1.0
0.23036649214659685	1.0	1.0
0.7958115183246073	1.0	1.0
0.956369982547993	0.9363064479892159	0.9934497816593887
0.9668411867364747	1.0	1.0
0.4816753926701571	1.0	1.0
0.9493891797556719	0.694844281601675	0.8011204481792717
0.987783595113438	0.7784615384615384	0.31891891891891894
0.6736474694589878	0.9539408866995074	0.9971830985915493
0.8342059336823735	0.8767550702028081	0.9671052631578947
0.7958115183246073	1.0	1.0
1.0	0.6266597143336002	0.9695817490494296
0.9947643979057592	0.8682712215320911	0.9915966386554622
0.8691099476439791	0.9988994864269992	1.0
0.6265270506108203	0.9983621474067333	1.0
0.7294938917975567	1.0	1.0
0.9144851657940664	0.9994877049180327	1.0
0.8586387434554974	1.0	1.0
0.7958115183246073	1.0	1.0
0.5113438045375218	1.0	1.0
0.5549738219895288	1.0	1.0
0.019197207678883072	0.9822784810126582	1.0
0.6561954624781849	0.9892393712416921	1.0
0.912739965095986	0.9835105228899979	0.9923518164435946
0.9458987783595113	1.0	1.0
0.7609075043630017	0.9768300184539676	0.9971988795518207
0.8202443280977313	0.9997151087335	1.0
0.7050610820244329	1.0	1.0
0.7818499127399651	1.0	1.0
0.9947643979057592	0.36401226206601556	0.6348314606741573
0.02268760907504363	0.9807692307692307	1.0
0.7923211169284468	1.0	1.0
0.9773123909249564	0.8621471774193549	0.8924731182795699
0.9947643979057592	0.7635673624288425	0.9301310043668122
0.8830715532286213	0.7340876944837341	0.7692307692307693
1.0	0.3293307951383804	0.7464285714285714
0.912739965095986	1.0	1.0
0.7835951134380453	1.0	1.0
0.9930191972076788	0.8205338328260361	0.9568345323741008
0.7958115183246073	0.9999982724725409	1.0
1.0	0.3423571233251299	0.26607142857142857
1.0	0.6682491894395554	0.9850427350427351
0.631762652705061	0.9994189799870884	1.0
0.8010471204188482	0.9956952216960826	0.9891067538126361
0.9109947643979057	0.6847341337907376	0.6747474747474748
1.0	0.41376192413761925	0.7563025210084033
1.0	0.7841604350781781	1.0
1.0	0.9900453619106243	0.9956331877729258
0.7155322862129145	0.8561671353957413	0.49122807017543857
1.0	0.33520161918106806	0.545816733067729
0.7905759162303665	0.995159728944821	1.0
0.568935427574171	1.0	1.0
0.5270506108202443	0.9981751824817519	0.9900662251655629
0.8778359511343804	0.9779810658440592	0.9956989247311828
1.0	0.9921192328783645	1.0
0.23211169284467714	0.9868038167422346	1.0
1.0	0.9626821409678918	0.9956331877729258
1.0	0.7006670666713726	0.9859943977591037
0.9493891797556719	0.5965692503176621	0.9719887955182073
0.42408376963350786	1.0	1.0
0.6230366492146597	1.0	1.0
0.581151832460733	0.9992603550295858	0.990990990990991
1.0	0.4505530121946279	1.0
1.0	0.4845850438702407	0.9859943977591037
0.9947643979057592	0.5621229050279329	0.9850427350427351
0.9912739965095986	0.7798707440100883	0.9019607843137255
0.3507853403141361	1.0	1.0
0.944153577661431	0.9882909764379051	1.0
0.9476439790575916	0.9581206277179051	0.9209401709401709
0.8167539267015707	1.0	1.0
0.7801047120418848	0.5809666168410563	0.4383561643835616
0.9354275741710296	0.9268937626380463	0.9915966386554622
0.912739965095986	1.0	1.0
0.9144851657940664	0.9954639175257732	1.0
0.8603839441535777	0.9921408674890569	0.9978118161925602
0.12390924956369982	0.9928617780661908	0.9142857142857143
1.0	0.7026169361850113	0.9943977591036415
0.9965095986038395	0.9969103366321926	1.0
0.0924956369982548	0.8853503184713376	0.9245283018867925
0.6614310645724258	0.6936292054402291	1.0
0.9703315881326352	0.967193738702052	0.97632058287796
0.944153577661431	0.9311516677155444	0.9757174392935982
0.9144851657940664	0.998953317981997	1.0
1.0	0.25811223986586446	0.36899563318777295
1.0	0.8929720575783234	0.9942965779467681
1.0	0.5052393089776267	0.8668122270742358
0.9790575916230366	0.96007610799462	0.9942965779467681
0.8359511343804538	0.9709196102314251	0.9801324503311258
0.9965095986038395	0.4896810506566604	0.17985611510791366
0.9965095986038395	0.5585165859112933	0.8726235741444867
0.9982547993019197	0.7123193392980042	0.6526610644257703
0.6020942408376964	1.0	1.0
0.7958115183246073	1.0	1.0
0.7958115183246073	0.9998831502687544	1.0
0.8184991273996509	0.9990599294947121	0.997867803837953
0.9319371727748691	0.8056850988230069	0.47580645161290325
0.9965095986038395	0.7357865685372585	0.9485714285714286
0.8429319371727748	0.9990366088631984	1.0
0.643979057591623	1.0	1.0
0.9895287958115183	0.9763952116000675	1.0
1.0	0.31564574603324075	0.6135458167330677
0.9982547993019197	0.4483929971256859	0.6232142857142857
1.0	0.5441646307085134	0.8823529411764706
0.008726003490401396	0.9999310867617669	1.0
1.0	0.5264778193479422	0.962882096069869
1.0	0.2422069369237524	0.35535714285714287
0.9860383944153578	0.9972064782778444	1.0
0.8132635253054101	1.0	1.0
0.7993019197207679	0.9959883919426425	1.0
1.0	0.8463161415651413	0.9956331877729258
1.0	0.9270345461771651	0.9956331877729258
0.9930191972076788	0.4410885167464115	0.537117903930131
0.93717277486911	0.9817253765202596	1.0
0.9668411867364747	0.8407473309608541	0.957983193277311
0.9982547993019197	0.7908361018826136	0.9912663755458515
1.0	0.706965440804324	0.9934497816593887
0.2268760907504363	0.8517279821627648	0.3769230769230769
0.7731239092495636	1.0	1.0
0.9528795811518325	0.9994727128921698	0.9981684981684982
0.9982547993019197	0.5471578278818673	0.5966386554621849
0.9790575916230366	0.9961767854411989	1.0
0.7993019197207679	0.9983197736116024	1.0
0.5916230366492147	1.0	1.0
0.8429319371727748	0.8892552366175329	0.9943977591036415
1.0	0.997757421647621	0.9956331877729258
1.0	0.6606583617509917	0.9607843137254902
1.0	0.5309711400339528	0.6526610644257703
0.02443280977312391	0.9872935196950444	1.0
0.7574171029668412	0.9943181818181818	0.9953810623556582
0.9755671902268761	0.8887065003282995	0.9710669077757685
0.5776614310645725	0.9298769116001492	0.7750759878419453
1.0	0.6933677190788788	0.9914529914529915
1.0	0.718604102805942	0.9912663755458515
0.9720767888307156	0.9930335655478151	0.9820143884892086
0.7294938917975567	0.9756475225225225	0.9887323943661972
0.5671902268760908	1.0	1.0
1.0	0.3841128574133687	0.8306772908366534
0.9982547993019197	0.38454627133872415	0.7675438596491229
0.9109947643979057	0.8459452129102251	0.7875536480686696
1.0	0.8653484385458065	1.0
0.9982547993019197	0.46710841449784446	0.75
1.0	0.4003659347970725	0.8525641025641025
1.0	0.848037010540751	1.0
0.675392670157068	0.9926486845014371	1.0
0.9703315881326352	0.8702869852981067	0.9523809523809523
0.9912739965095986	0.6990817047327526	0.9850427350427351
1.0	0.5936846607108914	0.9831932773109243
0.6282722513089005	0.9990534784666352	1.0
1.0	0.6207053469852105	0.8375350140056023
0.9930191972076788	0.6498122194742145	0.6703056768558951
0.3507853403141361	1.0	1.0
0.3612565445026178	0.9881040892193309	0.975
0.6300174520069808	0.6147443519619501	0.9859943977591037
