sample	hap	status	fasta	fai	t2t_pass_bed	hsat23_lifted_bed	altemose_log	t2t_chromosomes	annotation_records
HG00128	HG00128_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/filfa/HG00128_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/filfa/HG00128_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/centro/HG00128_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/hsat23/HG00128_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00128/hsat23/HG00128_hap2.HSat2and3_Regions.HSat2and3.log	17	190
HG00133	HG00133_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/filfa/HG00133_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/filfa/HG00133_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/centro/HG00133_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/hsat23/HG00133_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/hsat23/HG00133_hap1.HSat2and3_Regions.HSat2and3.log	15	100
HG00133	HG00133_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/filfa/HG00133_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/filfa/HG00133_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/centro/HG00133_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/hsat23/HG00133_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00133/hsat23/HG00133_hap2.HSat2and3_Regions.HSat2and3.log	17	109
HG00140	HG00140_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/filfa/HG00140_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/filfa/HG00140_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/centro/HG00140_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/hsat23/HG00140_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/hsat23/HG00140_hap1.HSat2and3_Regions.HSat2and3.log	13	107
HG00140	HG00140_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/filfa/HG00140_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/filfa/HG00140_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/centro/HG00140_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/hsat23/HG00140_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00140/hsat23/HG00140_hap2.HSat2and3_Regions.HSat2and3.log	17	265
HG00146	HG00146_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/filfa/HG00146_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/filfa/HG00146_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/centro/HG00146_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/hsat23/HG00146_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/hsat23/HG00146_hap1.HSat2and3_Regions.HSat2and3.log	13	87
HG00146	HG00146_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/filfa/HG00146_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/filfa/HG00146_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/centro/HG00146_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/hsat23/HG00146_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00146/hsat23/HG00146_hap2.HSat2and3_Regions.HSat2and3.log	13	99
HG00171	HG00171_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/filfa/HG00171_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/filfa/HG00171_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/centro/HG00171_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/hsat23/HG00171_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/hsat23/HG00171_hap1.HSat2and3_Regions.HSat2and3.log	16	255
HG00171	HG00171_hap2	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/filfa/HG00171_hap2.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/filfa/HG00171_hap2.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/centro/HG00171_hap2.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/hsat23/HG00171_hap2.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG00171/hsat23/HG00171_hap2.HSat2and3_Regions.HSat2and3.log	16	108
HG002	hg002v1.1_hap1	PASS	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG002/filfa/hg002v1.1_hap1.t2t.filtered.fasta.gz	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG002/filfa/hg002v1.1_hap1.t2t.filtered.fasta.gz.fai	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG002/centro/hg002v1.1_hap1.t2t.pass.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG002/hsat23/hg002v1.1_hap1.HSat2and3_Regions.lifted.bed	/home/senescence/Documents/storage2/hiura/docker/bulk_env/data/00_analysis/Repthoscope.v1.0.0/VallePrep_v0.0.0/results/data/HG002/hsat23/hg002v1.1_hap1.HSat2and3_Regions.HSat2and3.log	18	287
