kmer_id	target_family	group	hap_count	median_target_hits	mean_target_hits	q25_target_hits	q75_target_hits	median_target_density_per_M	measurable_haps
k16_3e476af8	HSat3	G1	59	14461.0	12543.762711864407	11210.0	17240.0	796.5451441117468	59
k16_3e476af8	HSat3	G2	54	13736.5	12611.166666666666	10410.0	15829.5	829.9733532061496	54
k16_3e476af8	HSat3	G3	70	14060.5	12597.2	9565.5	17077.5	821.4335369743569	70
k16_3e476af8	HSat3	G4	39	13681.0	10603.076923076924	575.5	16289.0	801.8528394914389	39
k16_3e476af8	HSat3	G5	47	15257.0	13662.851063829787	12268.0	17434.0	808.8300956272936	47
k16_3e476af8	HSat3	G6	47	12928.0	11673.468085106382	11092.5	14477.5	804.2873190554836	47
k16_3e476af8	HSat3	G7	126	13248.5	12200.103174603175	9273.25	16601.0	804.2913950762563	126
k16_3e476af8	HSat3	NA	131	13107.0	11506.458015267175	547.0	16746.0	832.2626909899266	131
k16_4118ba0e	HSat3	G1	59	7053.0	6113.728813559322	5646.5	7949.0	382.8219107558218	59
k16_4118ba0e	HSat3	G2	54	6319.0	5831.259259259259	4945.5	7207.5	379.4424771314548	54
k16_4118ba0e	HSat3	G3	70	6809.0	6076.285714285715	4690.25	7946.5	385.0012768092364	70
k16_4118ba0e	HSat3	G4	39	6298.0	5081.384615384615	961.0	7438.5	370.6305979368248	39
k16_4118ba0e	HSat3	G5	47	7152.0	6527.404255319149	6004.0	8159.0	381.62988456595536	47
k16_4118ba0e	HSat3	G6	47	5948.0	5415.36170212766	5031.0	6631.5	368.4647870564066	47
k16_4118ba0e	HSat3	G7	126	6304.0	5840.976190476191	4638.25	7711.0	382.7809203618451	126
k16_4118ba0e	HSat3	NA	131	5900.0	5338.4503816793895	849.5	7734.0	385.9993336389204	131
k16_411b0a0e	HSat3	G1	59	0.0	56.20338983050848	0.0	113.5	0.0	59
k16_411b0a0e	HSat3	G2	54	0.0	35.22222222222222	0.0	98.75	0.0	54
k16_411b0a0e	HSat3	G3	70	0.0	46.05714285714286	0.0	105.75	0.0	70
k16_411b0a0e	HSat3	G4	39	79.0	61.51282051282051	0.0	121.0	4.871258776517346	39
k16_411b0a0e	HSat3	G5	47	40.0	56.38297872340426	0.0	115.0	2.112389247431757	47
k16_411b0a0e	HSat3	G6	47	94.0	65.06382978723404	0.0	109.0	4.516203073993471	47
